station_id,inspector_id,inspection_date,cleanliness_score,status
3,41,3/24/2025,4.0,Needs improvement
6,36,8/12/2025,5.4,Passed inspection
8,34,11/19/2025,4.9,All clean
13,25,1/31/2026,4.0,Needs improvement
14,48,8/26/2025,4.5,Fridge slightly warm
1,34,8/4/2025,4.8,All clean
5,26,1/7/2026,4.0,Perfect condition
15,48,5/11/2025,5.6,Perfect condition
14,18,2/26/2026,4.0,Fridge slightly warm
4,37,7/9/2025,4.2,Passed inspection
0,14,2/11/2026,5.7,All clean
0,11,4/8/2025,5.0,Passed inspection
12,11,8/31/2025,4.3,Fridge slightly warm
0,56,3/3/2026,5.4,Good
6,56,10/30/2025,3.9,Passed inspection
10,48,2/21/2026,5.5,Fridge slightly warm
13,5,5/14/2025,3.1,Good
1,36,3/20/2025,5.3,Needs improvement
14,54,1/7/2026,5.7,Fridge slightly warm
13,7,1/24/2026,5.5,Fridge slightly warm
2,27,6/2/2025,5.7,Good
5,20,4/6/2025,5.4,All clean
11,11,11/26/2025,5.2,Passed inspection
1,43,9/13/2025,4.6,Good
1,9,4/7/2025,3.7,Passed inspection
8,53,8/21/2025,3.8,Fridge slightly warm
3,40,8/10/2025,3.2,Perfect condition
15,32,11/8/2025,4.3,Perfect condition
12,2,2/4/2026,5.0,Perfect condition
7,5,3/4/2026,5.6,Needs improvement
7,47,1/4/2026,4.6,All clean
5,21,10/11/2025,4.8,Good
6,5,7/30/2025,4.3,Fridge slightly warm
13,53,11/20/2025,3.6,Perfect condition
2,57,1/16/2026,5.1,Good
3,35,4/12/2025,5.8,Fridge slightly warm
4,41,5/28/2025,3.0,Passed inspection
3,56,2/26/2026,5.8,All clean
12,29,11/4/2025,5.2,Passed inspection
11,57,10/20/2025,5.2,Fridge slightly warm
8,12,6/12/2025,4.7,All clean
15,46,5/12/2025,5.5,Passed inspection
1,18,3/25/2025,5.6,All clean
14,44,8/29/2025,4.1,Fridge slightly warm
1,12,5/13/2025,3.5,Good
1,50,5/9/2025,3.6,Fridge slightly warm
9,18,3/16/2026,5.6,Fridge slightly warm
4,60,5/12/2025,3.7,All clean
10,60,11/24/2025,3.6,All clean
9,15,6/9/2025,4.0,Passed inspection
14,44,1/14/2026,5.0,Fridge slightly warm
4,50,9/15/2025,3.8,Fridge slightly warm
5,51,4/30/2025,5.6,All clean
6,34,12/18/2025,3.5,Fridge slightly warm
6,43,7/16/2025,4.5,Needs improvement
9,50,2/16/2026,5.4,Fridge slightly warm
2,1,12/29/2025,4.3,Needs improvement
13,52,5/15/2025,3.1,Good
3,21,2/9/2026,5.4,Good
12,50,3/23/2025,3.9,Perfect condition
8,7,10/27/2025,5.8,Passed inspection
14,7,12/12/2025,3.8,Needs improvement
