station_id,inspector_id,inspection_date,next_inspection_date,cleanliness_score,temperature_check,status,comments
9,45,2025-02-12,2025-02-23,4.1,4.61,Fridge slightly warm,
10,9,2025-08-13,2025-09-09,4.0,14.51,All clean,Deep clean needed
3,42,2025-01-25,2025-02-24,3.1,8.29,Good,OK
4,47,2025-01-23,2025-02-19,4.0,14.82,Needs improvement,Deep clean needed
1,18,2025-03-19,2025-04-03,4.3,23.12,Perfect condition,Deep clean needed
2,32,2025-04-20,2025-05-20,4.4,22.93,Passed inspection,Deep clean needed
10,31,2025-01-20,2025-02-02,3.8,18.03,Good,OK
4,3,2025-08-30,2025-09-20,5.4,7.5,All clean,Deep clean needed
5,39,2025-10-16,2025-11-07,5.5,4.32,Needs improvement,Watch fridge temp
7,3,2025-05-02,2025-05-15,3.8,8.67,Fridge slightly warm,Watch fridge temp
2,46,2025-03-19,2025-04-02,3.5,11.66,All clean,Watch fridge temp
12,2,2025-02-21,2025-03-06,4.0,17.66,Good,
3,46,2026-01-31,2026-02-08,4.7,18.34,Good,Deep clean needed
1,23,2025-12-26,2026-01-17,5.7,24.92,Passed inspection,
8,33,2025-04-06,2025-04-16,5.5,15.85,All clean,Excellent
1,31,2025-11-25,2025-12-15,3.4,14.07,Fridge slightly warm,OK
1,29,2025-03-03,2025-03-23,4.6,21.31,Fridge slightly warm,
3,43,2025-01-25,2025-02-15,4.7,17.18,Good,OK
3,19,2025-06-28,2025-07-17,5.2,14.06,Perfect condition,Deep clean needed
11,34,2026-02-13,2026-03-08,5.5,16.96,All clean,Excellent
14,49,2025-01-25,2025-02-13,4.7,24.96,Good,
11,19,2025-12-20,2026-01-05,4.9,7.31,Fridge slightly warm,Watch fridge temp
6,40,2026-01-06,2026-02-04,4.7,24.87,Perfect condition,Deep clean needed
13,44,2025-11-24,2025-12-10,3.3,12.15,Perfect condition,Excellent
11,46,2026-01-27,2026-02-07,4.6,15.93,Fridge slightly warm,Excellent
5,37,2025-10-25,2025-11-13,3.3,18.4,Good,Deep clean needed
11,18,2025-05-25,2025-06-10,3.5,19.94,Needs improvement,Deep clean needed
14,7,2025-07-31,2025-08-30,3.4,15.06,Good,Excellent
4,43,2025-12-07,2025-12-19,4.9,21.98,All clean,Deep clean needed
10,43,2025-10-16,2025-10-29,3.1,23.08,Good,
6,28,2025-06-25,2025-07-17,5.4,20.11,All clean,Deep clean needed
7,11,2025-06-02,2025-06-24,3.2,13.88,Needs improvement,Deep clean needed
13,3,2025-10-05,2025-10-18,5.0,18.37,Good,
6,10,2025-10-27,2025-11-22,5.5,13.16,Fridge slightly warm,Excellent
4,9,2026-02-09,2026-03-01,4.9,13.2,All clean,Deep clean needed
4,15,2025-01-05,2025-01-26,4.5,14.89,Good,
6,5,2025-05-23,2025-06-02,3.9,24.43,Needs improvement,Deep clean needed
14,36,2025-07-10,2025-07-26,5.1,16.78,Good,Excellent
4,9,2026-02-21,2026-03-04,5.3,8.4,Good,Watch fridge temp
7,32,2026-01-13,2026-01-30,4.2,21.13,Fridge slightly warm,Excellent
7,23,2025-02-14,2025-03-06,4.8,23.09,Needs improvement,Excellent
8,11,2025-07-31,2025-08-27,5.1,24.44,Fridge slightly warm,Excellent
4,18,2026-02-27,2026-03-11,3.6,5.95,Needs improvement,Deep clean needed
11,4,2025-10-13,2025-11-10,3.7,5.35,All clean,Deep clean needed
11,17,2025-07-28,2025-08-09,4.2,15.88,Passed inspection,
12,4,2025-06-29,2025-07-18,4.4,8.34,Passed inspection,Watch fridge temp
2,32,2026-02-18,2026-03-11,5.5,21.71,Perfect condition,Excellent
13,1,2025-03-15,2025-03-25,5.4,20.86,Needs improvement,Excellent
1,50,2025-12-09,2025-12-21,4.4,11.91,Good,Watch fridge temp
6,17,2025-04-03,2025-04-30,5.6,12.1,All clean,Excellent
7,16,2026-01-14,2026-02-08,4.1,15.08,All clean,Deep clean needed
10,37,2025-08-18,2025-09-05,5.7,9.57,Perfect condition,Excellent
11,36,2025-04-03,2025-04-18,5.1,12.12,Needs improvement,
4,2,2025-04-30,2025-05-29,5.3,13.59,Good,Deep clean needed
2,43,2025-09-25,2025-10-19,3.8,6.62,Needs improvement,Watch fridge temp
11,39,2026-01-19,2026-02-12,3.1,23.04,Good,Watch fridge temp
9,11,2025-09-02,2025-09-15,5.4,22.0,All clean,Excellent
10,5,2026-02-11,2026-03-03,4.7,7.27,Passed inspection,
9,17,2025-09-06,2025-09-20,4.9,14.82,Perfect condition,Deep clean needed
10,29,2025-08-23,2025-09-04,3.2,10.46,Fridge slightly warm,Excellent
1,7,2026-02-12,2026-03-11,5.2,24.3,All clean,Excellent
10,42,2025-04-21,2025-05-02,3.4,6.79,Fridge slightly warm,Excellent
1,38,2025-09-29,2025-10-14,4.1,7.12,Perfect condition,OK
3,1,2025-05-27,2025-06-22,4.3,18.82,All clean,Watch fridge temp
4,9,2025-12-23,2026-01-12,3.7,6.11,Perfect condition,Watch fridge temp
11,31,2025-07-01,2025-07-27,4.3,19.52,Needs improvement,Excellent
1,14,2025-05-08,2025-05-17,3.2,22.02,Needs improvement,Excellent
11,9,2025-09-26,2025-10-25,4.7,13.13,Needs improvement,Excellent
6,9,2025-04-12,2025-05-08,3.6,21.31,Passed inspection,
7,40,2025-07-24,2025-08-18,5.8,24.06,Fridge slightly warm,Watch fridge temp
10,4,2025-12-13,2026-01-02,5.6,15.86,Needs improvement,
