station_id,inspector_id,inspection_date,next_inspection_date,cleanliness_score,temperature_check,status,comments
10,46,2025-04-14,2025-04-28,3.4,17.77,Good,Watch fridge temp
14,26,2026-02-27,2026-03-06,4.2,20.11,Fridge slightly warm,Deep clean needed
7,27,2025-06-23,2025-07-05,5.4,5.92,Fridge slightly warm,Excellent
5,7,2026-02-25,2026-03-19,4.3,24.22,Needs improvement,Excellent
8,30,2025-06-04,2025-07-01,5.4,16.42,Needs improvement,
4,45,2025-06-28,2025-07-20,4.5,15.95,Passed inspection,Watch fridge temp
7,34,2025-04-07,2025-04-21,4.6,12.22,Fridge slightly warm,Excellent
12,45,2025-02-23,2025-03-14,4.6,11.4,Good,
4,39,2025-12-25,2026-01-23,5.5,15.92,Perfect condition,Watch fridge temp
11,33,2026-02-23,2026-03-08,5.1,19.58,Fridge slightly warm,OK
10,19,2025-09-18,2025-10-08,4.9,20.58,Perfect condition,OK
1,39,2025-04-20,2025-05-08,3.8,6.78,Needs improvement,Watch fridge temp
5,18,2025-11-30,2025-12-13,5.4,8.58,Good,Watch fridge temp
4,45,2026-02-01,2026-02-14,4.7,20.72,Good,Watch fridge temp
12,45,2025-01-18,2025-02-02,3.4,6.05,All clean,
4,28,2025-02-20,2025-03-03,5.2,6.39,Perfect condition,Watch fridge temp
10,4,2025-06-12,2025-06-29,4.7,6.72,Perfect condition,Deep clean needed
1,7,2026-02-22,2026-03-21,4.0,16.53,Passed inspection,Excellent
5,12,2025-05-01,2025-05-14,3.1,4.73,Perfect condition,Watch fridge temp
1,30,2025-08-26,2025-09-03,4.7,13.5,Needs improvement,Deep clean needed
14,45,2025-09-18,2025-10-04,5.2,12.87,Perfect condition,Deep clean needed
4,50,2025-01-07,2025-01-21,5.3,11.82,Good,OK
12,23,2026-01-09,2026-01-22,3.5,6.57,All clean,
9,31,2025-12-04,2025-12-21,4.4,4.87,Needs improvement,OK
9,25,2025-06-13,2025-07-07,4.0,24.82,Perfect condition,Watch fridge temp
9,25,2026-01-25,2026-02-13,3.4,24.1,Fridge slightly warm,OK
6,8,2025-04-01,2025-04-10,4.1,15.53,Perfect condition,OK
1,12,2025-09-09,2025-09-19,5.4,23.02,Good,
6,46,2025-01-27,2025-02-16,5.5,11.71,All clean,Excellent
13,20,2025-08-27,2025-09-08,5.0,22.06,Perfect condition,Excellent
8,9,2025-06-16,2025-06-23,3.7,4.25,Perfect condition,OK
13,32,2025-11-16,2025-12-10,5.5,6.26,Needs improvement,OK
6,4,2025-05-14,2025-05-29,5.0,11.7,Perfect condition,Excellent
7,15,2025-11-12,2025-11-23,3.4,19.65,All clean,Deep clean needed
4,33,2025-06-14,2025-07-09,3.3,16.34,Perfect condition,
12,17,2025-11-12,2025-11-23,4.5,21.55,All clean,Watch fridge temp
12,21,2025-01-25,2025-02-19,5.2,20.92,Good,Excellent
11,21,2025-09-14,2025-10-07,4.4,7.39,Fridge slightly warm,Excellent
14,26,2025-12-11,2026-01-10,5.6,6.15,Passed inspection,OK
5,38,2026-02-17,2026-03-13,3.8,15.28,Needs improvement,OK
7,12,2025-12-25,2026-01-03,4.0,10.11,Needs improvement,Excellent
9,1,2025-11-04,2025-12-03,4.6,20.4,All clean,
10,48,2025-03-03,2025-03-20,4.3,23.49,Good,
2,10,2025-02-13,2025-03-12,3.7,6.23,Needs improvement,Watch fridge temp
14,39,2026-01-18,2026-02-08,3.7,8.8,All clean,Deep clean needed
14,17,2025-10-21,2025-11-04,5.2,4.87,Needs improvement,Deep clean needed
6,22,2025-12-23,2026-01-01,5.0,13.67,Perfect condition,OK
6,43,2026-02-07,2026-02-27,4.3,15.61,Good,
13,21,2025-08-07,2025-08-18,4.4,8.26,Good,Deep clean needed
12,2,2025-03-14,2025-03-27,3.7,18.65,Needs improvement,Excellent
11,7,2025-02-17,2025-03-08,5.4,19.74,Needs improvement,Excellent
14,48,2025-01-24,2025-02-09,4.1,13.86,Good,Watch fridge temp
7,44,2025-11-04,2025-11-16,4.6,18.41,All clean,Deep clean needed
13,14,2025-04-27,2025-05-16,5.1,9.21,Perfect condition,
6,38,2025-02-14,2025-03-03,3.8,14.0,Perfect condition,Excellent
10,15,2025-05-08,2025-05-18,3.3,18.47,Needs improvement,
